date,last,open,high,low,%change,volume,is_trading_day,sentiment_score,impact_score,has_news,medium_term_score,prominence,topic_regulatory_news,topic_ai_sector,topic_corporate_changes,topic_financial_performance,topic_investor_sentiment,topic_competition,topic_market_conditions,timeliness,confidence,topic_technology,short_term_score,relevance_score,direct_impact,target_mentioned,sentiment_label,day_of_week,day_of_month,month,year
2020-09-24,-1.7073518388228026,-1.8036761040840132,-1.6926024053517803,-1.7586197064322742,0.5162714986401964,2.088850069351716,1,0.451219512195122,0.5869565217391305,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.7666666666666667,0.7272727272727273,0.0
2020-09-25,-1.5779721015509123,-1.6995990353653123,-1.622885029862611,-1.673265395477828,2.022189732708137,1.6571811415592583,1,0.451219512195122,0.45652173913043487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.7272727272727273,0.0
2020-09-28,-1.4925687281793196,-1.4895293690557874,-1.5312019059316488,-1.5099093921155737,1.2692306156741666,1.357978185414824,1,1.0,1.0000000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.7272727272727273,0.0
2020-09-29,-1.5202929575947244,-1.504215090408733,-1.5315202501119645,-1.4846547458032098,-0.4747555745148086,0.44384145262910746,1,0.3495934959349594,0.34782608695652184,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.9333333333333333,0.7272727272727273,0.0
2020-09-30,-1.465481837371165,-1.528478456122295,-1.4694431349503752,-1.4830563504669838,0.7820217752404212,1.4797496565995207,1,0.451219512195122,0.45652173913043487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9666666666666667,0.7272727272727273,0.0
2020-10-01,-1.434252245615881,-1.4055653534943815,-1.4547993026558466,-1.4124072766058133,0.41661514491511203,0.8341907195405301,1,0.878048780487805,0.8913043478260871,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.8181818181818182,0.0
2020-10-02,-1.5543905730826368,-1.557211389204145,-1.5296101850300692,-1.5278114198813002,-1.8422622061867988,1.5290901928280505,1,0.451219512195122,0.45652173913043487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03333333333333333,0.8181818181818182,0.0
2020-10-05,-1.4434936554210163,-1.5246473983780486,-1.4888621299496414,-1.4852941039377,1.65124663828699,0.5940505727731045,1,0.451219512195122,0.45652173913043487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.8181818181818182,0.0
2020-10-06,-1.5499292028318818,-1.4675007870263692,-1.5057343715063811,-1.5268523826795648,-1.64294949873663,1.937182608235447,1,1.0,1.0000000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.16666666666666669,0.8181818181818182,0.0
2020-10-07,-1.4887446965358153,-1.501980306724589,-1.5238799897843842,-1.466752718037483,0.8872145930613434,0.3658202106125653,1,0.451219512195122,0.7826086956521741,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.8181818181818182,0.0
2020-10-08,-1.4922500588756942,-1.4499417723652388,-1.4968207344575375,-1.4520474809442077,-0.10934894418949953,0.04085323062466228,1,1.0,1.0000000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.23333333333333334,0.8181818181818182,0.0
2020-10-09,-1.428516198150625,-1.4809094891312324,-1.477720083638587,-1.441498071725119,0.9093604494446955,0.45477900992114606,1,0.451219512195122,0.7826086956521741,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.26666666666666666,0.8181818181818182,0.0
